comnam,ticker,donor_name,candidates
GENERAL DYNAMICS CORP,GD,General Dynamics,
GENERAL ELECTRIC CO,GE,General Electric,
GENERAL GROWTH PPTYS INC NEW,GGP,,
GILEAD SCIENCES INC,GILD,Gilead Sciences,
GENERAL MILLS INC,GIS,General Mills,
CORNING INC,GLW,,"Corning, Owens Corning"
GENERAL MOTORS CO,GM,General Motors,
ALPHABET INC,GOOGL,Alphabet,
GENUINE PARTS CO,GPC,Genuine Parts,
GLOBAL PAYMENTS INC,GPN,,
GAP INC,GPS,Gap,
GARMIN LTD,GRMN,,
GOLDMAN SACHS GROUP INC,GS,,
GOODYEAR TIRE & RUBBER CO,GT,Goodyear Tire & Rubber,
GRAINGER W W INC,GWW,,
HALLIBURTON COMPANY,HAL,,
HASBRO INC,HAS,,
HUNTINGTON BANCSHARES INC,HBAN,,
HANESBRANDS INC,HBI,Hanesbrands,
H C A HOLDINGS INC,HCA,,
WELLTOWER INC,HCN,Welltower,
H C P INC,HCP,,
HOME DEPOT INC,HD,Home Depot,
HESS CORP,HES,Hess,
HARTFORD FINANCIAL SVCS GRP INC,HIG,,
HARLEY DAVIDSON INC,HOG,Harley-Davidson,
HOLOGIC INC,HOLX,Hologic,
HONEYWELL INTERNATIONAL INC,HON,Honeywell International,
HELMERICH & PAYNE INC,HP,,
HEWLETT PACKARD ENTERPRISE CO,HPE,Hewlett Packard Enterprise,
H P INC,HPQ,,"HP, BHP Group"
BLOCK H & R INC,HRB,,
HORMEL FOODS CORP,HRL,Hormel Foods,
HARRIS CORP,HRS,,"Harris Corporation, Harris Teeter"
SCHEIN HENRY INC,HSIC,Henry Schein,
HOST HOTELS & RESORTS INC,HST,,
HERSHEY CO,HSY,Hershey,
HUMANA INC,HUM,Humana,
INTERNATIONAL BUSINESS MACHS COR,IBM,,
INTERCONTINENTALEXCHANGE GRP INC,ICE,,
I D E X X LABORATORIES INC,IDXX,,
INTERNATIONAL FLAVORS & FRAG INC,IFF,,
ILLUMINA INC,ILMN,,
INCYTE CORP,INCY,Incyte Corporation,
INTEL CORP,INTC,Intel,
INTUIT INC,INTU,Intuit,
INTERNATIONAL PAPER CO,IP,International Paper,
INTERPUBLIC GROUP COS INC,IPG,,
INGERSOLL RAND PLC,IR,,
IRON MOUNTAIN INC NEW,IRM,,
INTUITIVE SURGICAL INC,ISRG,,
GARTNER INC,IT,,
ILLINOIS TOOL WORKS INC,ITW,Illinois Tool Works,
INVESCO LTD,IVZ,,
HUNT J B TRANSPORT SERVICES INC,JBHT,,
JACOBS ENGINEERING GROUP INC,JEC,,
JOHNSON & JOHNSON,JNJ,Johnson & Johnson,
JUNIPER NETWORKS INC,JNPR,,
JPMORGAN CHASE & CO,JPM,,
NORDSTROM INC,JWN,Nordstrom,
KELLOGG CO,K,Kellogg Company,
KEYCORP NEW,KEY,KeyCorp,
KRAFT HEINZ CO,KHC,Kraft Heinz,
KIMCO REALTY CORP,KIM,,
K L A TENCOR CORP,KLAC,,
KIMBERLY CLARK CORP,KMB,Kimberly-Clark,
KINDER MORGAN INC,KMI,Kinder Morgan,
CARMAX INC,KMX,CarMax,
COCA COLA CO,KO,Coca-Cola,
MICHAEL KORS HOLDINGS LIMITED,KORS,,
KROGER COMPANY,KR,,
KOHLS CORP,KSS,,
KANSAS CITY SOUTHERN,KSU,,
LOEWS CORP,L,Loews,
L BRANDS INC,LB,,"Bloomin' Brands, Constellation Brands, L Brands, Newell Brands"
LEGGETT & PLATT INC,LEG,,
LENNAR CORP,LEN,Lennar Corporation,
LABORATORY CORP AMERICA HLDGS,LH,,
L K Q CORP,LKQ,LKQ,
L 3 COMMUNICATIONS HLDGS INC,LLL,,
LILLY ELI & CO,LLY,,
LOCKHEED MARTIN CORP,LMT,Lockheed Martin,
LINCOLN NATIONAL CORP,LNC,Lincoln National,
ALLIANT ENERGY CORP,LNT,,
LOWES COMPANIES INC,LOW,,
LAM RESH CORP,LRCX,,
LEUCADIA NATIONAL CORP,LUK,,
SOUTHWEST AIRLINES CO,LUV,Southwest Airlines,
LEVEL 3 COMMUNICATIONS INC,LVLT,,
LYONDELLBASELL INDUSTRIES N V,LYB,,
MACYS INC,M,,
MASTERCARD INC,MA,MasterCard,
MID AMERICA APT COMMUNITIES INC,MAA,,
MACERICH CO,MAC,,
MARRIOTT INTERNATIONAL INC NEW,MAR,,
MASCO CORP,MAS,Masco Corporation,
MATTEL INC,MAT,,
MCDONALDS CORP,MCD,,
MICROCHIP TECHNOLOGY INC,MCHP,,
MCKESSON H B O C INC,MCK,,
MOODYS CORP,MCO,,
MONDELEZ INTERNATIONAL INC,MDLZ,Mondelez International,
MEDTRONIC PLC,MDT,,
METLIFE INC,MET,MetLife,
MOHAWK INDUSTRIES INC,MHK,Mohawk Industries,
MEAD JOHNSON NUTRITION CO,MJN,,
MCCORMICK & CO INC,MKC,,
MARTIN MARIETTA MATERIALS INC,MLM,,
MARSH & MCLENNAN COS INC,MMC,,
3M CO,MMM,3M Company,
MALLINCKRODT PLC,MNK,,
MONSTER BEVERAGE CORP NEW,MNST,,
ALTRIA GROUP INC,MO,,
MONSANTO CO NEW,MON,,
MOSAIC COMPANY NEW,MOS,,
MARATHON PETROLEUM CORP,MPC,Marathon Petroleum,
MERCK & CO INC NEW,MRK,,
MARATHON OIL CORP,MRO,Marathon Oil,
MORGAN STANLEY DEAN WITTER & CO,MS,,
MICROSOFT CORP,MSFT,Microsoft,
MOTOROLA SOLUTIONS INC,MSI,Motorola Solutions,
M & T BANK CORP,MTB,,"M & T Bank Corp., Gulf Coast Bank & Trust Company"
METTLER TOLEDO INTERNATIONAL INC,MTD,,
MICRON TECHNOLOGY INC,MU,Micron Technology,
MURPHY OIL CORP,MUR,,
MYLAN N V,MYL,,
NAVIENT CORP,NAVI,Navient,
NOBLE ENERGY INC,NBL,,
NASDAQ INC,NDAQ,,
NEXTERA ENERGY INC,NEE,NextEra Energy,
NEWMONT MINING CORP,NEM,,
NETFLIX INC,NFLX,Netflix,
NEWFIELD EXPLORATION CO,NFX,Newfield Exploration,
NISOURCE INC,NI,NiSource,
NIKE INC,NKE,Nike,
NIELSEN HOLDINGS PLC,NLSN,,
NORTHROP GRUMMAN CORP,NOC,Northrop Grumman,
NATIONAL OILWELL VARCO INC,NOV,National Oilwell Varco,
N R G ENERGY INC,NRG,NRG Energy,
NORFOLK SOUTHERN CORP,NSC,Norfolk Southern,
NETAPP INC,NTAP,NetApp,
NORTHERN TRUST CORP,NTRS,Northern Trust,
NUCOR CORP,NUE,Nucor,
NVIDIA CORP,NVDA,Nvidia,
NEWELL BRANDS INC,NWL,Newell Brands,
NEWS CORP NEW,NWSA,,
REALTY INCOME CORP,O,,
ONEOK INC NEW,OKE,,
OMNICOM GROUP INC,OMC,,
ORACLE CORP,ORCL,Oracle,
O REILLY AUTOMOTIVE INC NEW,ORLY,,
OCCIDENTAL PETROLEUM CORP,OXY,Occidental Petroleum,
PAYCHEX INC,PAYX,,
PEOPLES UNITED FINANCIAL INC,PBCT,,
PACCAR INC,PCAR,Paccar,
P G & E CORP,PCG,PG&E (Pacific Gas and Electric),
PRICELINE GROUP INC,PCLN,,
PATTERSON COMPANIES INC,PDCO,,
PUBLIC SERVICE ENTERPRISE GP INC,PEG,,
PEPSICO INC,PEP,PepsiCo,
PFIZER INC,PFE,Pfizer,
PRINCIPAL FINANCIAL GROUP INC,PFG,,
PROCTER & GAMBLE CO,PG,Procter & Gamble,
PROGRESSIVE CORP OH,PGR,,
PARKER HANNIFIN CORP,PH,Parker-Hannifin,
PULTE GROUP INC,PHM,,
PERKINELMER INC,PKI,,
PROLOGIS INC,PLD,,
PHILIP MORRIS INTERNATIONAL INC,PM,Philip Morris International,
P N C FINANCIAL SERVICES GRP INC,PNC,,
PENTAIR PLC,PNR,,
PINNACLE WEST CAPITAL CORP,PNW,,
P P G INDUSTRIES INC,PPG,PPG Industries,
P P L CORP,PPL,,"Apple, PPL Corporation, Applied Materials, HD Supply Holdings, Applegate & Thorne-Thomsen, Tractor Supply, Texas Appleseed, Appleseed, South Carolina Appleseed Legal Justice Center, Natural Gas Supply Association"
PERRIGO CO PLC,PRGO,,
PRUDENTIAL FINANCIAL INC,PRU,Prudential Financial,
PUBLIC STORAGE,PSA,,
PHILLIPS 66,PSX,Phillips 66,
P V H CORP,PVH,PVH Corp,
QUANTA SERVICES INC,PWR,Quanta Services,
PRAXAIR INC,PX,Praxair,
PIONEER NATURAL RESOURCES CO,PXD,Pioneer Natural Resources,
PAYPAL HOLDINGS INC,PYPL,PayPal Holdings,
QUALCOMM INC,QCOM,Qualcomm,
QORVO INC,QRVO,,
RYDER SYSTEMS INC,R,,
REYNOLDS AMERICAN INC,RAI,Reynolds American,
ROYAL CARIBBEAN CRUISES LTD,RCL,,
REGENCY CENTERS CORP,REG,,
REGENERON PHARMACEUTICALS INC,REGN,Regeneron Pharmaceuticals,
REGIONS FINANCIAL CORP NEW,RF,,
ROBERT HALF INTERNATIONAL INC,RHI,Robert Half International,
RED HAT INC,RHT,,
TRANSOCEAN LTD,RIG,,
RAYMOND JAMES FINANCIAL INC,RJF,Raymond James Financial,
RALPH LAUREN CORP,RL,Ralph Lauren,
ROCKWELL AUTOMATION INC,ROK,Rockwell Automation,
ROPER TECHNOLOGIES INC,ROP,,
ROSS STORES INC,ROST,Ross Stores,
RANGE RESOURCES CORP,RRC,Range Resources,
REPUBLIC SERVICES INC,RSG,Republic Services,
RAYTHEON CO,RTN,Raytheon Company,
STARBUCKS CORP,SBUX,Starbucks,
SCANA CORP NEW,SCG,,
SCHWAB CHARLES CORP NEW,SCHW,,
SEALED AIR CORP NEW,SEE,,
SHERWIN WILLIAMS CO,SHW,Sherwin-Williams,
SIGNET JEWELERS LTD,SIG,,
SMUCKER J M CO,SJM,,
SCHLUMBERGER LTD,SLB,Schlumberger,
S L GREEN REALTY CORP,SLG,,
SNAP ON INC,SNA,,
SCRIPPS NETWORKS INTERACTIVE INC,SNI,,
SYNOPSYS INC,SNPS,,
SOUTHERN CO,SO,,"Norfolk Southern, Southern Company, Southern Glazer's Wine & Spirits, Western & Southern Financial Group, Southern California Gas Company, Southern Union Company, Southern California Pipe Trades District Council 16, Southern Connecticut Gas, Southern Christian Leadership Conference"
SIMON PROPERTY GROUP INC NEW,SPG,,
S & P GLOBAL INC,SPGI,,"S&P Global, Allianz Global Corporate & Specialty"
STAPLES INC,SPLS,,
STERICYCLE INC,SRCL,,
SEMPRA ENERGY,SRE,Sempra Energy,
SUNTRUST BANKS INC,STI,SunTrust Banks,
STATE STREET CORP,STT,State Street Corporation,
SEAGATE TECHNOLOGY PLC,STX,,
CONSTELLATION BRANDS INC,STZ,Constellation Brands,
STANLEY BLACK & DECKER INC,SWK,,
SKYWORKS SOLUTIONS INC,SWKS,,
SOUTHWESTERN ENERGY CO,SWN,Southwestern Energy,
SYNCHRONY FINANCIAL,SYF,Synchrony Financial,
STRYKER CORP,SYK,Stryker,
SYMANTEC CORP,SYMC,,
SYSCO CORP,SYY,Sysco,
A T & T INC,T,,"AT&T, NCTA - The Internet & Television Association, Wachtell, Lipton, Rosen & Katz, Bed Bath & Beyond, Great Lakes Dredge & Dock, Motor & Equipment Manufacturers Association, Matchmaster Dyeing & Finishing, Chemical Producers & Distributors Association, Dr. Robert Zoellner & Associates, Maryland & Virginia Milk Producers Cooperative Association"
MOLSON COORS BREWING CO,TAP,Molson Coors Brewing Company,
TERADATA CORP DE,TDC,,
TRANSDIGM GROUP INC,TDG,,
T E CONNECTIVITY LTD,TEL,,
TEGNA INC,TGNA,,
TARGET CORP,TGT,Target,
TIFFANY & CO NEW,TIF,,
T J X COMPANIES INC NEW,TJX,,
TORCHMARK CORP,TMK,,
THERMO FISHER SCIENTIFIC INC,TMO,Thermo Fisher Scientific,
TRIPADVISOR INC,TRIP,,
T ROWE PRICE GROUP INC,TROW,,
TRAVELERS COMPANIES INC,TRV,,
TRACTOR SUPPLY CO NEW,TSCO,,
TYSON FOODS INC,TSN,,
TESORO CORP,TSO,Tesoro Corporation,
TOTAL SYSTEM SERVICES INC,TSS,,
TIME WARNER INC NEW,TWX,,
TEXAS INSTRUMENTS INC,TXN,Texas Instruments,
TEXTRON INC,TXT,Textron,
UNDER ARMOUR INC,UA,,
UNITED CONTINENTAL HOLDINGS INC,UAL,,
U D R INC,UDR,,
UNIVERSAL HEALTH SERVICES INC,UHS,Universal Health Services,
ULTA SALON COSMETICS & FRAG INC,ULTA,,
UNITEDHEALTH GROUP INC,UNH,,
UNUM GROUP,UNM,Unum Group,
UNION PACIFIC CORP,UNP,Union Pacific,
UNITED PARCEL SERVICE INC,UPS,United Parcel Service,
UNITED RENTALS INC,URI,United Rentals,
U S BANCORP DEL,USB,,
UNITED TECHNOLOGIES CORP,UTX,United Technologies,
VISA INC,V,Visa,
VARIAN MEDICAL SYSTEMS INC,VAR,,
V F CORP,VFC,VF Corporation,
VIACOM INC NEW,VIAB,,
VALERO ENERGY CORP NEW,VLO,,
VULCAN MATERIALS CO,VMC,,
VORNADO REALTY TRUST,VNO,,
VERISK ANALYTICS INC,VRSK,,
VERISIGN INC,VRSN,Verisign,
VERTEX PHARMACEUTICALS INC,VRTX,,
VENTAS INC,VTR,,
VERIZON COMMUNICATIONS INC,VZ,Verizon Communications,
WATERS CORP,WAT,,
WALGREENS BOOTS ALLIANCE INC,WBA,Walgreens Boots Alliance,
WESTERN DIGITAL CORP,WDC,Western Digital,
W E C ENERGY GROUP INC,WEC,,
WELLS FARGO & CO NEW,WFC,,
WHOLE FOODS MARKET INC,WFM,,
WHIRLPOOL CORP,WHR,Whirlpool,
WILLIS TOWERS WATSON PUB LTD CO,WLTW,,
WASTE MANAGEMENT INC DEL,WM,,
WILLIAMS COS,WMB,,
WAL MART STORES INC,WMT,,
WESTERN UNION CO,WU,Western Union,
WEYERHAEUSER CO,WY,Weyerhaeuser,
WYNDHAM WORLDWIDE CORP,WYN,,
WYNN RESORTS LTD,WYNN,Wynn Resorts,
CIMAREX ENERGY CO,XEC,Cimarex Energy,
X C E L ENERGY INC,XEL,,"Xcel Energy, Excelerate Energy"
X L GROUP LTD,XL,,
XILINX INC,XLNX,Xilinx,
EXXON MOBIL CORP,XOM,ExxonMobil,
DENTSPLY SIRONA INC,XRAY,,
XEROX CORP,XRX,Xerox,
XYLEM INC,XYL,,
YAHOO INC,YHOO,,
YUM BRANDS INC,YUM,Yum Brands,
ZIMMER BIOMET HOLDINGS INC,ZBH,Zimmer Biomet Holdings,
ZIONS BANCORPORATION,ZION,Zions Bancorporation,
ZOETIS INC,ZTS,Zoetis,
